7,0,1.000127,1.0001269578933716,1191704,9532421.783811597,20,66608,60038,3785,1500,false
7,10.00007,11.000128,1.0000580549240112,3127680,25019987.46652887,12,88328,61473,6010,1500,false
7,1.000127,2.000109,0.9999819993972778,1368360,10947077.053985018,2,79640,61401,4849,1500,false
7,11.000128,12.000198,1.0000699758529663,1172880,9382383.459714549,4,75296,61588,5232,1500,false
7,12.000198,13.000074,0.9998760223388672,1694160,13554960.512301063,2,88328,63022,5990,1500,false
7,13.000074,14.000066,0.9999920129776001,1759320,14074672.414723847,0,102808,59414,5162,1500,false
7,14.000066,15.000085,1.0000189542770386,1824480,14595563.3516487,0,117288,60213,5715,1500,false
7,15.000085,16.000158,1.000072956085205,1954800,15637259.166787853,0,130320,61323,4615,1500,false
7,16.000158,17.000135,0.9999769926071167,2541240,20330387.749218415,0,144800,62539,7099,1500,false
7,17.000135,18.000073,0.9999380111694336,2997360,23980366.514876813,0,176656,62641,5389,1500,false
7,18.000073,19.000095,1.000022053718567,3779280,30233573.237284552,0,240368,60857,7142,1500,false
7,19.000095,20.000112,1.0000170469284058,4691520,37531520.20286214,3,267880,56104,4251,1500,false
7,20.000112,21.000066,0.9999539852142334,5408280,43268230.97837897,3,280912,59516,3288,1500,false
7,2.000109,3.000072,0.9999629855155945,1629000,13032482.390616212,0,94120,58281,4652,1500,false
7,21.000066,22.000085,1.0000189542770386,4952160,39616529.09733218,0,293944,61229,4094,1500,false
7,22.000085,23.000071,0.9999859929084778,5929560,47437144.45642395,0,308424,59902,3359,1500,false
7,23.000071,24.000097,1.000025987625122,5212800,41701316.28182537,0,321456,63748,4138,1500,false
7,24.000097,25.000068,0.9999709725379944,5994720,47959152.132466346,0,335936,64818,3683,1500,false
7,25.000068,26.000067,0.9999989867210388,5929560,47436528.06643588,0,353312,65699,6103,1500,false
7,26.000067,27.000116,1.0000489950180054,5668920,45349138.11816137,0,405440,71019,5002,1500,false
7,27.000116,28.000128,1.0000120401382446,6516000,52127372.37923022,0,477840,79980,3679,1500,false
7,28.000128,29.000125,0.9999970197677612,5277960,42223805.8367474,53,259192,61729,4222,1500,false
7,29.000125,30.000069,0.9999439716339111,5082480,40662118.232046254,0,279464,57673,4614,1500,false
7,30.000069,31.000071,1.0000020265579224,5147640,41181036.54424414,0,288152,59684,5723,1500,false
7,3.000072,4.000103,1.0000309944152832,1824480,14595387.624494746,0,107152,57277,6653,1500,false
7,31.000071,32.000104,1.0000330209732056,4952160,39615971.84205529,4,204168,58762,3920,1500,false
7,32.000104,33.000109,1.0000050067901611,4039920,32319198.184556514,0,246160,58821,7227,1500,false
7,33.000109,34.000261,1.0001519918441772,3323160,26581239.868331894,20,192584,58856,5220,1500,false
7,34.000261,35.000152,0.9998909831047058,3974760,31801546.905909237,0,208512,58058,4547,1500,false
7,35.000152,36.000094,0.9999420046806335,4039920,32321234.480316006,0,215752,57402,10342,1500,false
7,36.000094,37.000089,0.9999949932098389,4170240,33362087.036969133,0,225888,56422,4925,1500,false
7,37.000089,38.000082,0.9999930262565613,3974760,31798301.753198214,0,240368,60033,4481,1500,false
7,38.000082,39.000176,1.0000940561294556,4105080,32837551.427011978,0,254848,62720,5509,1500,false
7,39.000176,40.000099,0.9999229907989502,2997360,23980726.73660658,34,136112,61653,5149,1500,false
7,40.000099,41.000156,1.0000569820404053,2019960,16158759.240928035,2,108600,57820,3676,1500,false
7,4.000103,5.000126,1.0000230073928833,2085120,16680576.223429307,6,118736,55735,2530,1500,false
7,41.000156,42.000295,1.0001389980316162,2019960,16157434.148457397,0,120184,62589,4950,1500,false
7,42.000295,43.000269,0.9999740123748779,2019960,16160099.962619763,2,102808,60926,5809,1500,false
7,43.000269,44.000222,0.9999529719352722,2019960,16160439.994218078,8,79640,62194,3682,1500,false
7,44.000222,45.000562,1.0003399848937988,1042560,8337645.326539124,0,92672,61039,5358,1500,false
7,45.000562,46.000348,0.9997860193252563,1954800,15641747.031583987,0,105704,59022,3713,1500,false
7,46.000348,47.00033,0.9999819993972778,2085120,16681260.272739075,0,120184,60332,4720,1500,false
7,47.00033,48.000395,1.0000649690628052,2085120,16679876.32406752,0,134664,62411,4274,1500,false
7,48.000395,49.000163,0.9997680187225342,3062520,24505844.897204634,0,149144,60400,6644,1500,false
7,49.000163,50.000077,0.9999139904975891,3062520,24502267.427829407,0,162176,60692,5093,1500,false
7,50.000077,51.000071,0.9999939799308777,3062520,24500307.49354463,0,176656,60552,5289,1500,false
7,5.000126,6.00011,0.9999840259552002,2280600,18245091.447908167,15,127424,56235,4414,1500,false
7,51.000071,52.000115,1.0000439882278442,3127680,25020339.39960975,0,189688,55947,4359,1500,false
7,52.000115,53.000269,1.0001540184020996,2932200,23453987.654298622,0,214304,56970,3486,1500,false
7,53.000269,54.000073,0.9998040199279785,5277960,42231956.621900365,0,283808,62455,7222,1500,false
7,54.000073,55.000153,1.0000799894332886,5017320,40135349.59613097,0,377928,65601,4179,1500,false
7,55.000153,56.000123,0.999970018863678,6125040,49001789.129319906,12,334488,58122,3528,1500,false
7,56.000123,57.000071,0.9999480247497559,6320520,50566788.22147185,0,389512,68251,4227,1500,false
7,57.000071,58.000067,0.9999960064888,6190200,49521797.765854016,0,427160,73881,5483,1500,false
7,58.000067,59.000074,1.0000070333480835,5343120,42744659.361931995,22,324352,61844,6469,1500,false
7,59.000074,60.000175,1.0001009702682495,5212800,41698189.72259819,4,241816,65479,5122,1500,false
7,6.00011,7.000123,1.000012993812561,2476080,19808382.613589182,7,139008,57003,6360,1500,false
7,7.000123,8.000073,0.9999499917030334,2932200,23458773.13329332,0,153488,56952,5471,1500,false
7,8.000073,9.000075,1.0000020265579224,2932200,23457552.46191122,0,167968,60449,3699,1500,false
7,9.000075,10.00007,0.9999949932098389,3323160,26585413.10758478,0,182448,60151,5537,1500,false
